Date,High,Low,Open,Close,Volume,Adj Close,Status,Middle,Height
2017-11-01,8256.4501953125,8160.0,8251.0,8238.400390625,631375.0,8094.291015625,Decrease,8244.7001953125,12.599609375
2017-11-02,8273.9501953125,8201.0,8250.0,8225.7998046875,247753.0,8081.91064453125,Decrease,8237.89990234375,24.2001953125
2017-11-03,8242.900390625,8175.0,8235.0,8219.400390625,288916.0,8075.623046875,Decrease,8227.2001953125,15.599609375
2017-11-06,8370.5498046875,8199.349609375,8209.5,8310.2001953125,392588.0,8164.8349609375,Increase,8259.85009765625,100.7001953125
2017-11-07,8348.0,8210.0,8348.0,8220.2998046875,348296.0,8076.5068359375,Decrease,8284.14990234375,127.7001953125
2017-11-08,8285.0498046875,8204.900390625,8218.0,8232.0,199176.0,8088.001953125,Increase,8225.0,14.0
2017-11-09,8273.7001953125,8148.7001953125,8273.7001953125,8204.7998046875,442672.0,8061.27783203125,Decrease,8239.25,68.900390625
2017-11-10,8234.900390625,8111.0498046875,8198.7998046875,8183.5,351694.0,8040.3505859375,Decrease,8191.14990234375,15.2998046875
2017-11-13,8219.0498046875,8080.0,8185.0,8109.2001953125,181361.0,7967.3505859375,Decrease,8147.10009765625,75.7998046875
2017-11-14,8186.0,8109.0,8129.0,8122.9501953125,237427.0,7980.8603515625,Decrease,8125.97509765625,6.0498046875
2017-11-15,8180.0,8087.0,8100.0,8127.25,275441.0,7985.0849609375,Increase,8113.625,27.25
2017-11-16,8234.849609375,8129.25,8130.0,8163.7001953125,321844.0,8020.8974609375,Increase,8146.85009765625,33.7001953125
2017-11-17,8362.4501953125,8218.0,8218.0,8348.349609375,419255.0,8202.3173828125,Increase,8283.1748046875,130.349609375
2017-11-20,8449.0,8350.0,8377.0,8425.650390625,372037.0,8278.265625,Increase,8401.3251953125,48.650390625
2017-11-21,8449.4501953125,8401.0,8446.0,8424.7998046875,255180.0,8277.4296875,Decrease,8435.39990234375,21.2001953125
2017-11-22,8525.0,8444.0,8448.0,8513.150390625,383442.0,8364.234375,Increase,8480.5751953125,65.150390625
2017-11-23,8519.0,8443.5,8512.0,8463.400390625,289808.0,8315.35546875,Decrease,8487.7001953125,48.599609375
2017-11-24,8540.0,8463.400390625,8463.400390625,8487.9501953125,343432.0,8339.474609375,Increase,8475.67529296875,24.5498046875
2017-11-27,8524.2001953125,8445.0,8486.0,8508.599609375,172254.0,8359.763671875,Increase,8497.2998046875,22.599609375
2017-11-28,8658.0,8476.0498046875,8490.599609375,8624.150390625,456041.0,8473.2939453125,Increase,8557.375,133.55078125
2017-11-29,8696.0,8576.0,8649.0,8671.349609375,382984.0,8519.666015625,Increase,8660.1748046875,22.349609375
2017-11-30,8676.0,8575.0,8650.0,8599.099609375,582023.0,8448.6806640625,Decrease,8624.5498046875,50.900390625
2017-12-01,8695.0,8593.0,8660.0,8609.0,436589.0,8458.4072265625,Decrease,8634.5,51.0
2017-12-04,8659.9501953125,8480.5498046875,8659.75,8500.7998046875,242191.0,8352.1005859375,Decrease,8580.27490234375,158.9501953125
2017-12-05,8554.9501953125,8476.5,8519.9501953125,8500.400390625,213998.0,8351.7080078125,Decrease,8510.17529296875,19.5498046875
2017-12-06,8638.75,8450.0498046875,8494.0,8612.400390625,420876.0,8461.7490234375,Increase,8553.2001953125,118.400390625
2017-12-07,8988.25,8614.5498046875,8615.900390625,8882.400390625,834850.0,8727.025390625,Increase,8749.150390625,266.5
2017-12-08,9119.0,8899.0,8929.7998046875,9042.25,1006694.0,8884.0791015625,Increase,8986.02490234375,112.4501953125
2017-12-11,9167.0,9089.75,9108.0,9133.7998046875,564023.0,8974.02734375,Increase,9120.89990234375,25.7998046875
2017-12-12,9218.5,9100.0,9150.0,9131.349609375,491488.0,8971.6201171875,Decrease,9140.6748046875,18.650390625
2017-12-13,9176.0,9075.0,9091.0,9120.650390625,446829.0,8961.1083984375,Increase,9105.8251953125,29.650390625
2017-12-14,9146.7998046875,9046.0,9127.0,9112.75,655484.0,8953.345703125,Decrease,9119.875,14.25
2017-12-15,9236.2998046875,9147.2998046875,9170.0,9165.900390625,620495.0,9005.56640625,Decrease,9167.9501953125,4.099609375
2017-12-18,9344.0,8990.150390625,9110.0,9309.099609375,658668.0,9146.26171875,Increase,9209.5498046875,199.099609375
2017-12-19,9858.0,9326.0,9345.0,9801.5,1275759.0,9630.0478515625,Increase,9573.25,456.5
2017-12-20,9996.400390625,9700.25,9966.0,9733.900390625,1216280.0,9563.630859375,Decrease,9849.9501953125,232.099609375
2017-12-21,9817.400390625,9610.0498046875,9788.0,9631.0498046875,849633.0,9462.580078125,Decrease,9709.52490234375,156.9501953125
2017-12-22,9824.7998046875,9605.0,9665.0,9700.0,814330.0,9530.3232421875,Increase,9682.5,35.0
2017-12-26,9765.0,9616.2001953125,9741.0,9679.0,542587.0,9509.6904296875,Decrease,9710.0,62.0
2017-12-27,9750.7001953125,9629.099609375,9694.0,9644.099609375,402886.0,9475.4013671875,Decrease,9669.0498046875,49.900390625
2017-12-28,9693.5,9615.7998046875,9693.5,9629.2001953125,659995.0,9460.76171875,Decrease,9661.35009765625,64.2998046875
2017-12-29,9769.0,9650.0,9659.0,9729.5498046875,471554.0,9559.3564453125,Increase,9694.27490234375,70.5498046875
2018-01-01,9789.0,9629.7998046875,9749.0,9651.900390625,426354.0,9483.0654296875,Decrease,9700.4501953125,97.099609375
2018-01-02,9718.599609375,9525.0,9699.0,9554.0498046875,451227.0,9386.92578125,Decrease,9626.52490234375,144.9501953125
2018-01-03,9598.0,9402.0,9597.0,9416.599609375,658281.0,9251.8798828125,Decrease,9506.7998046875,180.400390625
2018-01-04,9488.0,9367.2001953125,9450.0,9386.25,562919.0,9222.0615234375,Decrease,9418.125,63.75
2018-01-05,9532.0,9412.5498046875,9458.0,9433.849609375,732512.0,9268.828125,Decrease,9445.9248046875,24.150390625
2018-01-08,9495.0,9425.0,9488.0,9448.9501953125,294549.0,9283.6650390625,Decrease,9468.47509765625,39.0498046875
2018-01-09,9491.4501953125,9361.0,9464.7998046875,9383.5498046875,427590.0,9219.4091796875,Decrease,9424.1748046875,81.25
2018-01-10,9454.849609375,9315.900390625,9387.7998046875,9375.849609375,394826.0,9211.84375,Decrease,9381.82470703125,11.9501953125
2018-01-11,9430.0,9326.0,9410.0,9339.7998046875,368996.0,9176.423828125,Decrease,9374.89990234375,70.2001953125
2018-01-12,9494.75,9355.099609375,9387.0,9459.150390625,685141.0,9293.6875,Increase,9423.0751953125,72.150390625
2018-01-15,9508.5498046875,9340.0,9499.9501953125,9358.4501953125,385462.0,9194.748046875,Decrease,9429.2001953125,141.5
2018-01-16,9408.650390625,9300.0,9371.0,9322.0498046875,364816.0,9158.984375,Decrease,9346.52490234375,48.9501953125
2018-01-17,9368.7998046875,9256.0,9316.0,9313.900390625,390461.0,9150.9775390625,Decrease,9314.9501953125,2.099609375
2018-01-18,9518.900390625,9332.0,9350.0,9368.7001953125,686971.0,9204.8193359375,Increase,9359.35009765625,18.7001953125
2018-01-19,9396.0,9282.0,9325.0,9323.9501953125,542339.0,9160.8515625,Decrease,9324.47509765625,1.0498046875
2018-01-22,9356.75,9271.599609375,9349.0,9310.099609375,454188.0,9147.244140625,Decrease,9329.5498046875,38.900390625
2018-01-23,9429.2998046875,9290.0,9347.0,9393.400390625,561948.0,9229.0869140625,Increase,9370.2001953125,46.400390625
2018-01-24,9519.9501953125,9340.4501953125,9419.0,9434.9501953125,568489.0,9269.91015625,Increase,9426.97509765625,15.9501953125
2018-01-25,9485.0,9250.0,9485.0,9278.2001953125,705224.0,9115.90234375,Decrease,9381.60009765625,206.7998046875
2018-01-29,9714.0,9461.0,9481.0,9630.7001953125,1546624.0,9462.236328125,Increase,9555.85009765625,149.7001953125
2018-01-30,9675.5,9550.0,9620.0,9571.5498046875,573988.0,9404.1201171875,Decrease,9595.77490234375,48.4501953125
2018-01-31,9585.0,9458.900390625,9558.0498046875,9509.7001953125,462650.0,9343.3525390625,Decrease,9533.875,48.349609375
2018-02-01,9563.7001953125,9312.0,9545.0,9401.849609375,550971.0,9237.388671875,Decrease,9473.4248046875,143.150390625
2018-02-02,9359.0,8940.0,9359.0,8990.599609375,984189.0,8833.33203125,Decrease,9174.7998046875,368.400390625
2018-02-05,9120.0,8688.0,8850.150390625,9080.599609375,651062.0,8921.7578125,Increase,8965.375,230.44921875
2018-02-06,9113.5,8661.599609375,8700.0,8984.599609375,840339.0,8827.4365234375,Increase,8842.2998046875,284.599609375
2018-02-07,9170.0,8873.0,9170.0,8921.7998046875,509440.0,8765.736328125,Decrease,9045.89990234375,248.2001953125
2018-02-08,9060.0,8915.0,8988.900390625,9030.7001953125,465683.0,8872.7314453125,Increase,9009.80029296875,41.7998046875
2018-02-09,8986.5498046875,8870.0,8906.0,8936.099609375,364892.0,8779.78515625,Increase,8921.0498046875,30.099609375
2018-02-12,9150.0,8960.0,8960.0,9117.849609375,408523.0,8958.3564453125,Increase,9038.9248046875,157.849609375
2018-02-14,9157.5,8986.0,9149.900390625,9001.599609375,357737.0,8844.1396484375,Decrease,9075.75,148.30078125
2018-02-15,9090.0,9001.0,9049.0,9020.25,250781.0,8862.46484375,Decrease,9034.625,28.75
2018-02-16,9070.0,8806.849609375,9039.900390625,8836.9501953125,632659.0,8682.37109375,Decrease,8938.42529296875,202.9501953125
2018-02-19,8865.849609375,8691.650390625,8856.0,8724.849609375,436138.0,8572.23046875,Decrease,8790.4248046875,131.150390625
2018-02-20,8768.9501953125,8650.0,8745.0,8722.650390625,517802.0,8570.0703125,Decrease,8733.8251953125,22.349609375
2018-02-21,8795.0,8708.2001953125,8771.0,8782.75,471756.0,8629.1181640625,Increase,8776.875,11.75
2018-02-22,8769.0,8601.5,8769.0,8634.0498046875,638857.0,8483.01953125,Decrease,8701.52490234375,134.9501953125
2018-02-23,8738.9501953125,8655.0498046875,8665.0,8698.7998046875,567960.0,8546.63671875,Increase,8681.89990234375,33.7998046875
2018-02-26,9055.0,8750.0498046875,8758.0,9005.349609375,869374.0,8847.82421875,Increase,8881.6748046875,247.349609375
2018-02-27,9114.9501953125,8872.599609375,9093.0,8891.2001953125,684609.0,8735.671875,Decrease,8992.10009765625,201.7998046875
2018-02-28,8934.0,8772.0,8870.0,8850.9501953125,680125.0,8696.125,Decrease,8860.47509765625,19.0498046875
2018-03-01,8936.0498046875,8811.349609375,8874.0,8873.4501953125,609369.0,8718.2314453125,Decrease,8873.72509765625,0.5498046875
2018-03-05,8867.0,8775.0,8867.0,8795.099609375,388180.0,8641.251953125,Decrease,8831.0498046875,71.900390625
2018-03-06,8885.0,8600.0,8855.5498046875,8616.5,543686.0,8465.7763671875,Decrease,8736.02490234375,239.0498046875
2018-03-07,8713.849609375,8552.0,8621.7998046875,8679.099609375,598715.0,8527.28125,Increase,8650.44970703125,57.2998046875
2018-03-08,8775.0,8651.0,8700.2001953125,8729.349609375,533856.0,8576.65234375,Increase,8714.77490234375,29.1494140625
2018-03-09,8774.0,8650.0,8760.0,8660.599609375,323450.0,8509.10546875,Decrease,8710.2998046875,99.400390625
2018-03-12,8826.7998046875,8681.099609375,8719.0,8810.2998046875,438339.0,8656.1865234375,Increase,8764.64990234375,91.2998046875
2018-03-13,8848.0,8691.0,8810.0,8756.0498046875,521943.0,8602.884765625,Decrease,8783.02490234375,53.9501953125
2018-03-14,8874.0,8725.0498046875,8735.0,8846.2998046875,411769.0,8691.556640625,Increase,8790.64990234375,111.2998046875
2018-03-15,8875.0,8800.9501953125,8839.900390625,8837.5498046875,313431.0,8682.958984375,Decrease,8838.72509765625,2.3505859375
2018-03-16,8869.0,8649.400390625,8869.0,8676.5498046875,622932.0,8524.7763671875,Decrease,8772.77490234375,192.4501953125
2018-03-19,8800.0,8703.5498046875,8711.5,8773.5,571830.0,8620.0302734375,Increase,8742.5,62.0
2018-03-20,8845.5,8735.0,8764.4501953125,8802.400390625,408924.0,8648.42578125,Increase,8783.42529296875,37.9501953125
2018-03-21,8945.0,8825.0498046875,8839.900390625,8874.650390625,516020.0,8719.4111328125,Increase,8857.275390625,34.75
2018-03-22,8910.5,8684.400390625,8870.0,8696.5498046875,471749.0,8544.42578125,Decrease,8783.27490234375,173.4501953125
2018-03-23,8640.5,8542.099609375,8612.5498046875,8607.25,644482.0,8456.6884765625,Decrease,8609.89990234375,5.2998046875
2018-03-26,8798.0,8605.0,8607.0,8765.2998046875,447858.0,8611.97265625,Increase,8686.14990234375,158.2998046875
2018-03-27,8887.0,8767.150390625,8815.0,8852.2998046875,423455.0,8697.451171875,Increase,8833.64990234375,37.2998046875
2018-03-28,9084.0,8801.0,8812.0,8861.099609375,1194227.0,8706.09765625,Increase,8836.5498046875,49.099609375
2018-04-02,9088.0,8953.25,8990.0,9008.2001953125,552649.0,8850.625,Increase,8999.10009765625,18.2001953125
2018-04-03,9060.0,8955.0,9008.9501953125,9026.4501953125,339709.0,8868.5556640625,Increase,9017.7001953125,17.5
2018-04-04,9149.400390625,8980.599609375,9078.0,9013.5,488280.0,8855.83203125,Decrease,9045.75,64.5
2018-04-05,9157.650390625,9050.0,9050.0,9132.599609375,236956.0,8972.8486328125,Increase,9091.2998046875,82.599609375
2018-04-06,9230.0,9042.5498046875,9165.0,9206.2001953125,429514.0,9045.162109375,Increase,9185.60009765625,41.2001953125
2018-04-09,9308.150390625,9184.7001953125,9220.0,9292.650390625,426170.0,9130.099609375,Increase,9256.3251953125,72.650390625
2018-04-10,9315.4501953125,9239.0,9290.0,9273.4501953125,299119.0,9111.234375,Decrease,9281.72509765625,16.5498046875
2018-04-11,9350.0,9208.5498046875,9290.0,9302.5,318010.0,9139.77734375,Increase,9296.25,12.5
2018-04-12,9290.0,9181.099609375,9290.0,9204.4501953125,300797.0,9043.44140625,Decrease,9247.22509765625,85.5498046875
2018-04-13,9267.0,9106.25,9267.0,9123.9501953125,366224.0,8964.349609375,Decrease,9195.47509765625,143.0498046875
2018-04-16,9245.0,9065.0,9100.0,9232.0,271057.0,9070.509765625,Increase,9166.0,132.0
2018-04-17,9242.0,9137.5498046875,9241.0,9160.349609375,342578.0,9000.11328125,Decrease,9200.6748046875,80.650390625
2018-04-18,9227.4501953125,9095.900390625,9178.0,9121.5,452854.0,8961.9423828125,Decrease,9149.75,56.5
2018-04-19,9183.75,9068.0,9144.0,9077.650390625,256088.0,8918.8603515625,Decrease,9110.8251953125,66.349609375
2018-04-20,9108.150390625,9012.9501953125,9082.0,9025.0,303913.0,8867.130859375,Decrease,9053.5,57.0
2018-04-23,9125.0,9005.9501953125,9039.900390625,9064.849609375,302205.0,8906.283203125,Increase,9052.375,24.94921875
2018-04-24,9142.5498046875,9031.0,9095.0,9064.650390625,312103.0,8906.0869140625,Decrease,9079.8251953125,30.349609375
2018-04-25,9068.7998046875,8908.0,9059.0,8934.599609375,488641.0,8778.3115234375,Decrease,8996.7998046875,124.400390625
2018-04-26,8981.0,8890.0,8949.0,8946.4501953125,614321.0,8789.955078125,Decrease,8947.72509765625,2.5498046875
2018-04-27,9137.0,8715.099609375,9015.0,8783.349609375,1873816.0,8629.7080078125,Decrease,8899.1748046875,231.650390625
